"id","input","output","process_time","issue","source"
"1","perancis","perancis","0.00469","lemma_not_found","bisnis-001"
"2","gencar","gencar","0.00184",,"bisnis-001"
"3","investasi","investasi","0.00219",,"bisnis-001"
"4","indonesia","Indonesia","0.00361",,"bisnis-001"
"5","sabtu","Sabtu","0.00312",,"bisnis-001"
"6","november","November","0.00337",,"bisnis-001"
"7","saat","saat","0.00200",,"bisnis-001"
"8","perancis","perancis","0.00748","lemma_not_found","bisnis-001"
"9","semakin","semakin","0.00320",,"bisnis-001"
"10","bersemangat","semangat","0.00465",,"bisnis-001"
"11","untuk","untuk","0.00339",,"bisnis-001"
"12","berinvestasi","investasi","0.01076",,"bisnis-001"
"13","indonesia","Indonesia","0.00346",,"bisnis-001"
"14","terutama","utama","0.00447",,"bisnis-001"
"15","dalam","dalam","0.00308",,"bisnis-001"
"16","penjualan","jual","0.00558",,"bisnis-001"
"17","barang","barang","0.00352",,"bisnis-001"
"18","konsumer","konsumer","0.00322",,"bisnis-001"
"19","pariwisata","pariwisata","0.00373",,"bisnis-001"
"20","transportasi","transportasi","0.01070",,"bisnis-001"
"21","pelaku","laku","0.00244",,"bisnis-001"
"22","usaha","usaha","0.00139",,"bisnis-001"
"23","perancis","perancis","0.00779","lemma_not_found","bisnis-001"
"24","melihat","lihat","0.00438",,"bisnis-001"
"25","kondisi","kondisi","0.00327",,"bisnis-001"
"26","perekonomian","ekonomi","0.00701",,"bisnis-001"
"27","indonesia","Indonesia","0.00359",,"bisnis-001"
"28","cukup","cukup","0.00341",,"bisnis-001"
"29","baik","baik","0.00337",,"bisnis-001"
"30","menjanjikan","janji","0.00570",,"bisnis-001"
"31","prospek","prospek","0.00338",,"bisnis-001"
"32","bisnis","bisnis","0.00335",,"bisnis-001"
"33","yang","yang","0.00341",,"bisnis-001"
"34","menguntungkan","untung","0.00775",,"bisnis-001"
"35","demikian","demikian","0.00361",,"bisnis-001"
"36","disampaikan","sampai","0.01517",,"bisnis-001"
"37","koordinator","koordinator","0.00356",,"bisnis-001"
"38","fungsi","fungsi","0.00340",,"bisnis-001"
"39","ekonomi","ekonomi","0.00363",,"bisnis-001"
"40","kedutaan","duta","0.00457",,"bisnis-001"
"41","besar","besar","0.00291",,"bisnis-001"
"42","republik","republik","0.01225",,"bisnis-001"
