"id","value","length","source"
"1","perancis","8","bisnis-001"
"2","gencar","6","bisnis-001"
"3","investasi","9","bisnis-001"
"4","indonesia","9","bisnis-001"
"5","sabtu","5","bisnis-001"
"6","november","8","bisnis-001"
"7","saat","4","bisnis-001"
"8","perancis","8","bisnis-001"
"9","semakin","7","bisnis-001"
"10","bersemangat","11","bisnis-001"
"11","untuk","5","bisnis-001"
"12","berinvestasi","12","bisnis-001"
"13","indonesia","9","bisnis-001"
"14","terutama","8","bisnis-001"
"15","dalam","5","bisnis-001"
"16","penjualan","9","bisnis-001"
"17","barang","6","bisnis-001"
"18","konsumer","8","bisnis-001"
"19","pariwisata","10","bisnis-001"
"20","transportasi","12","bisnis-001"
"21","pelaku","6","bisnis-001"
"22","usaha","5","bisnis-001"
"23","perancis","8","bisnis-001"
"24","melihat","7","bisnis-001"
"25","kondisi","7","bisnis-001"
"26","perekonomian","12","bisnis-001"
"27","indonesia","9","bisnis-001"
"28","cukup","5","bisnis-001"
"29","baik","4","bisnis-001"
"30","menjanjikan","11","bisnis-001"
"31","prospek","7","bisnis-001"
"32","bisnis","6","bisnis-001"
"33","yang","4","bisnis-001"
"34","menguntungkan","13","bisnis-001"
"35","demikian","8","bisnis-001"
"36","disampaikan","11","bisnis-001"
"37","koordinator","11","bisnis-001"
"38","fungsi","6","bisnis-001"
"39","ekonomi","7","bisnis-001"
"40","kedutaan","8","bisnis-001"
"41","besar","5","bisnis-001"
"42","republik","8","bisnis-001"
"43","indonesia","9","bisnis-001"
"44","untuk","5","bisnis-001"
"45","perancis","8","bisnis-001"
"46","tharyat","7","bisnis-001"
"47","saat","4","bisnis-001"
"48","menerima","8","bisnis-001"
"49","kunjungan","9","bisnis-001"
"50","rombongan","9","bisnis-001"
"51","kereta","6","bisnis-001"
"52","indonesia","9","bisnis-001"
"53","kai","3","bisnis-001"
"54","paris","5","bisnis-001"
"55","perancis","8","bisnis-001"
"56","kamis","5","bisnis-001"
"57","malam","5","bisnis-001"
"58","waktu","5","bisnis-001"
"59","perancis","8","bisnis-001"
"60","seperti","7","bisnis-001"
"61","dilaporkan","10","bisnis-001"
"62","wartawan","8","bisnis-001"
"63","kompas","6","bisnis-001"
"64","herpin","6","bisnis-001"
"65","dewanto","7","bisnis-001"
"66","kai","3","bisnis-001"
"67","selama","6","bisnis-001"
"68","sepekan","7","bisnis-001"
"69","sedang","6","bisnis-001"
"70","mengikuti","9","bisnis-001"
"71","pelatihan","9","bisnis-001"
"72","pelayanan","9","bisnis-001"
"73","publik","6","bisnis-001"
"74","kantor","6","bisnis-001"
"75","pusat","5","bisnis-001"
"76","perusahaan","10","bisnis-001"
"77","nasional","8","bisnis-001"
"78","kereta","6","bisnis-001"
